year,municipality,language,place of birth,concept,language skills,status,value
2023,Barcelona,English,Unknown,proportion of population from 15 years and over (%),can read,.., 
2023,Barcelona,English,Unknown,proportion of population from 15 years and over (%),can write,.., 
2023,Barcelona,English,Unknown,proportion of population from 15 years and over (%),knowledge of all skills,.., 
2023,Barcelona,English,total,population aged 15 and over (thousands),can understand,,955.4
2023,Barcelona,English,total,population aged 15 and over (thousands),can speak,,846.2
2023,Barcelona,English,total,population aged 15 and over (thousands),can read,,894.2
2023,Barcelona,English,total,population aged 15 and over (thousands),can write,,793.2
2023,Barcelona,English,total,population aged 15 and over (thousands),knowledge of all skills,,767.7
2023,Barcelona,English,total,proportion of population from 15 years and over (%),can understand,,65.4
2023,Barcelona,English,total,proportion of population from 15 years and over (%),can speak,,57.9
2023,Barcelona,English,total,proportion of population from 15 years and over (%),can read,,61.2
2023,Barcelona,English,total,proportion of population from 15 years and over (%),can write,,54.3
2023,Barcelona,English,total,proportion of population from 15 years and over (%),knowledge of all skills,,52.5
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),can understand,,231.2
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),can speak,,177.2
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),can read,,199.9
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),can write,,143.5
2023,Barcelona,French,Catalonia,population aged 15 and over (thousands),knowledge of all skills,,141.2
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),can understand,,45.6
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),can speak,,34.9
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),can read,,39.4
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),can write,,28.3
2023,Barcelona,French,Catalonia,proportion of population from 15 years and over (%),knowledge of all skills,,27.8
2023,Barcelona,French,Spain,population aged 15 and over (thousands),can understand,,123.1
2023,Barcelona,French,Spain,population aged 15 and over (thousands),can speak,,95
2023,Barcelona,French,Spain,population aged 15 and over (thousands),can read,,108.4
2023,Barcelona,French,Spain,population aged 15 and over (thousands),can write,,79.7
2023,Barcelona,French,Spain,population aged 15 and over (thousands),knowledge of all skills,,79.7
2023,Barcelona,French,Spain,proportion of population from 15 years and over (%),can understand,,27.2
2023,Barcelona,French,Spain,proportion of population from 15 years and over (%),can speak,,21
2023,Barcelona,French,Spain,proportion of population from 15 years and over (%),can read,,24
2023,Barcelona,French,Spain,proportion of population from 15 years and over (%),can write,,17.6
2023,Barcelona,French,Spain,proportion of population from 15 years and over (%),knowledge of all skills,,17.6
2023,Barcelona,French,foreign,population aged 15 and over (thousands),can understand,,124.5
2023,Barcelona,French,foreign,population aged 15 and over (thousands),can speak,,92.1
2023,Barcelona,French,foreign,population aged 15 and over (thousands),can read,,98.4
2023,Barcelona,French,foreign,population aged 15 and over (thousands),can write,,72.5
2023,Barcelona,French,foreign,population aged 15 and over (thousands),knowledge of all skills,,72.5
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),can understand,,25.8
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),can speak,,19.1
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),can read,,20.4
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),can write,,15
2023,Barcelona,French,foreign,proportion of population from 15 years and over (%),knowledge of all skills,,15
2023,Barcelona,French,Unknown,population aged 15 and over (thousands),can understand,.., 
2023,Barcelona,French,Unknown,population aged 15 and over (thousands),can speak,.., 
2023,Barcelona,French,Unknown,population aged 15 and over (thousands),can read,.., 
2023,Barcelona,French,Unknown,population aged 15 and over (thousands),can write,.., 
2023,Barcelona,French,Unknown,population aged 15 and over (thousands),knowledge of all skills,.., 
2023,Barcelona,French,Unknown,proportion of population from 15 years and over (%),can understand,.., 
2023,Barcelona,French,Unknown,proportion of population from 15 years and over (%),can speak,.., 
2023,Barcelona,French,Unknown,proportion of population from 15 years and over (%),can read,.., 
2023,Barcelona,French,Unknown,proportion of population from 15 years and over (%),can write,.., 
2023,Barcelona,French,Unknown,proportion of population from 15 years and over (%),knowledge of all skills,.., 
2023,Barcelona,French,total,population aged 15 and over (thousands),can understand,,481.8
2023,Barcelona,French,total,population aged 15 and over (thousands),can speak,,367.2
2023,Barcelona,French,total,population aged 15 and over (thousands),can read,,409.7
2023,Barcelona,French,total,population aged 15 and over (thousands),can write,,298.7
2023,Barcelona,French,total,population aged 15 and over (thousands),knowledge of all skills,,296.3
2023,Barcelona,French,total,proportion of population from 15 years and over (%),can understand,,33
2023,Barcelona,French,total,proportion of population from 15 years and over (%),can speak,,25.1
2023,Barcelona,French,total,proportion of population from 15 years and over (%),can read,,28
2023,Barcelona,French,total,proportion of population from 15 years and over (%),can write,,20.4
2023,Barcelona,French,total,proportion of population from 15 years and over (%),knowledge of all skills,,20.3
