year,Catalonia,territorial area of ​​stratification,habitual language,concept,status,value
2023,Catalunya,Comarques Gironines,Spanish,population aged 15 and over (thousands),,215.3
2023,Catalunya,Comarques Gironines,Catalan and Spanish,population aged 15 and over (thousands),,57.2
2023,Catalunya,Comarques Gironines,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Gironines,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Gironines,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Gironines,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Gironines,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Gironines,other languages,population aged 15 and over (thousands),,39.8
2023,Catalunya,Comarques Gironines,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Gironines,total,population aged 15 and over (thousands),,672.9
2023,Catalunya,Camp de Tarragona,Catalan,population aged 15 and over (thousands),,176.1
2023,Catalunya,Camp de Tarragona,Spanish,population aged 15 and over (thousands),,190.6
2023,Catalunya,Camp de Tarragona,Catalan and Spanish,population aged 15 and over (thousands),,47.1
2023,Catalunya,Camp de Tarragona,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Camp de Tarragona,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Camp de Tarragona,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Camp de Tarragona,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Camp de Tarragona,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Camp de Tarragona,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Camp de Tarragona,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Camp de Tarragona,total,population aged 15 and over (thousands),,464.9
2023,Catalunya,Terres de l'Ebre,Catalan,population aged 15 and over (thousands),,107
2023,Catalunya,Terres de l'Ebre,Spanish,population aged 15 and over (thousands),,25.6
2023,Catalunya,Terres de l'Ebre,Catalan and Spanish,population aged 15 and over (thousands),,9.1
2023,Catalunya,Terres de l'Ebre,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Terres de l'Ebre,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Terres de l'Ebre,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Terres de l'Ebre,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Terres de l'Ebre,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Terres de l'Ebre,other languages,population aged 15 and over (thousands),.., 
2023,Catalunya,Terres de l'Ebre,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Terres de l'Ebre,total,population aged 15 and over (thousands),,160.2
2023,Catalunya,Ponent,Catalan,population aged 15 and over (thousands),,162.8
2023,Catalunya,Ponent,Spanish,population aged 15 and over (thousands),,83
2023,Catalunya,Ponent,Catalan and Spanish,population aged 15 and over (thousands),,22.1
2023,Catalunya,Ponent,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Ponent,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Ponent,Spanish and another language (or languages),population aged 15 and over (thousands),,21.1
2023,Catalunya,Ponent,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Ponent,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Ponent,other languages,population aged 15 and over (thousands),,14
2023,Catalunya,Ponent,other language combinations,population aged 15 and over (thousands),.., 
2023,Catalunya,Ponent,total,population aged 15 and over (thousands),,318.7
2023,Catalunya,Comarques Centrals,Catalan,population aged 15 and over (thousands),,213.8
2023,Catalunya,Comarques Centrals,Spanish,population aged 15 and over (thousands),,75
2023,Catalunya,Comarques Centrals,Catalan and Spanish,population aged 15 and over (thousands),,29.2
2023,Catalunya,Comarques Centrals,Aranese,population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Centrals,Catalan and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Centrals,Spanish and another language (or languages),population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Centrals,"Catalan, Spanish and another language (or languages)",population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Centrals,Arabic,population aged 15 and over (thousands),.., 
2023,Catalunya,Comarques Centrals,other languages,population aged 15 and over (thousands),,13.6
2023,Catalunya,Comarques Centrals,other language combinations,population aged 15 and over (thousands),.., 
